model,type,size,correlation with sem_ratio,correlation with guess_ratio
Aniemore/rubert-tiny2-russian-emotion-detection,rubert,tiny,"0,6111543248","0,8306975091"
sentence-transformers/bert-base-nli-mean-tokens,bert,base,"0,6111325593","0,8193465026"
mxlcw/rubert-tiny2-russian-financial-sentiment,rubert,tiny,"0,609294482","0,8314397761"
google-bert/bert-base-cased,bert,base,"0,6058392437","0,7617739734"
nreimers/MiniLMv2-L6-H384-distilled-from-BERT-Large,bert,mini,"0,6057026751","0,7747920003"
google-bert/bert-base-multilingual-cased,bert,base,"0,6022266515","0,6971881399"
cointegrated/rubert-tiny-bilingual-nli,rubert,tiny,"0,59969122","0,8631553626"
sergeyzh/rubert-mini-sts,rubert,mini,"0,5995220809","0,7325026664"
cointegrated/rubert-base-cased-nli-twoway,rubert,base,"0,5992488033","0,6952203504"
cointegrated/rubert-tiny-toxicity,rubert,tiny,"0,5966959159","0,8869154716"
r1char9/ner-rubert-tiny-news,rubert,tiny,"0,5966880501","0,7637059698"
mrm8488/bert-mini2bert-mini-finetuned-cnn_daily_mail-summarization,bert,mini,"0,5961723043","0,7847308469"
cointegrated/rubert-tiny,rubert,tiny,"0,5934434071","0,8684800331"
mohitsha/tiny-random-testing-bert2gpt2,bert,tiny,"0,5894257821","0,7635935369"
shahrukhx01/bert-mini-finetune-question-detection,bert,mini,"0,5890660538","0,7404691586"
tomaarsen/span-marker-bert-tiny-fewnerd-coarse-super,bert,tiny,"0,5884594101","0,7945417084"
Varnikasiva/sentiment-classification-bert-mini,bert,mini,"0,5873836606","0,7102694362"
gaunernst/bert-mini-uncased,bert,mini,"0,5849517468","0,7373666839"
mrm8488/bert-mini-finetuned-age_news-classification,bert,mini,"0,5826605402","0,7372801174"
seara/rubert-base-cased-russian-sentiment,rubert,base,"0,5821821638","0,6381141369"
weiweishi/roc-bert-base-zh,bert,base,"0,5806474484","0,7016682311"
cointegrated/rubert-tiny-sentiment-balanced,rubert,tiny,"0,5803592975","0,8601533952"
Den4ikAI/rubert_large_squad_2,rubert,large,"0,5771771784","0,5376211892"
DeepPavlov/rubert-base-cased,rubert,base,"0,5767633105","0,6832029793"
tomaarsen/span-marker-bert-tiny-conll03,bert,tiny,"0,5763663503","0,786461368"
DeepPavlov/rubert-base-cased-sentence,rubert,base,"0,5747277368","0,5897020579"
tomaarsen/span-marker-bert-base-uncased-acronyms,bert,base,"0,5740351246","0,7182965565"
pinialt/bert-tiny-pii-router,bert,tiny,"0,5717200004","0,6836064652"
ydshieh/tiny-random-BertForSequenceClassification,bert,tiny,"0,5708284115","0,7258619634"
krlvi/sentence-msmarco-bert-base-dot-v5-nlpl-code_search_net,bert,base,"0,570535385","0,7202319291"
dslim/bert-base-NER,bert,base,"0,5685995057","0,653619717"
sentence-transformers/msmarco-bert-base-dot-v5,bert,base,"0,5675516723","0,6704798935"
NeuML/gliner-bert-tiny,bert,tiny,"0,5654696485","0,6781558734"
microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank,bert,base,"0,5631096201","0,6434520155"
r1char9/rubert-base-cased-russian-sentiment,rubert,base,"0,5627487578","0,6456427889"
seara/rubert-base-cased-russian-emotion-detection-cedr,rubert,base,"0,5520015475","0,5796095769"
optimum-intel-internal-testing/tiny-random-bert,bert,tiny,"0,5458991905","0,7058415195"
Muennighoff/tiny-random-bert,bert,tiny,"0,5458991905","0,7058415195"
hf-tiny-model-private/tiny-random-BertModel,bert,tiny,"0,5453430691","0,6882755469"
blanchefort/rubert-base-cased-sentiment-rusentiment,rubert,base,"0,5451774048","0,5589573387"
seara/rubert-base-cased-russian-emotion-detection-ru-go-emotions,rubert,base,"0,5446098873","0,6023780298"
ShantanuT01/BERT-tiny-RAID,bert,tiny,"0,5418386214","0,5907553396"
google-bert/bert-base-chinese,bert,base,"0,5413443554","0,6859411375"
gravitee-io/bert-tiny-toxicity,bert,tiny,"0,5390430276","0,576828883"
sentence-transformers-testing/stsb-bert-tiny-safetensors,bert,tiny,"0,5345130246","0,5803887968"
optimum-intel-internal-testing/stsb-bert-tiny-safetensors,bert,tiny,"0,5345130246","0,5803887968"
sentence-transformers-testing/stsb-bert-tiny-openvino,bert,tiny,"0,5345130246","0,5803887968"
sentence-transformers-testing/stsb-bert-tiny-onnx,bert,tiny,"0,5345130246","0,5803887968"
sentence-transformers-testing/stsb-bert-tiny-openvino-quantized-only,bert,tiny,"0,5345130246","0,5803887968"
NeuML/bert-tiny-prompts,bert,tiny,"0,5345130246","0,5803887968"
peft-internal-testing/tiny-random-BertForSequenceClassification,bert,tiny,"0,5344153522","0,7379122307"
philschmid/tiny-bert-sst2-distilled,bert,tiny,"0,5339538226","0,5726398579"
gokuls/tiny-bert-sst2-mobilebert-distillation,bert,tiny,"0,5323478506","0,5701196615"
amedvedev/bert-tiny-cognitive-bias,bert,tiny,"0,5320961369","0,5653084312"
mrm8488/bert-tiny-finetuned-fake-news-detection,bert,tiny,"0,5282311972","0,5600142453"
mrm8488/bert-tiny-finetuned-sms-spam-detection,bert,tiny,"0,5279506588","0,5553784782"
anas-awadalla/bert-tiny-finetuned-squad,bert,tiny,"0,527598766","0,5632148264"
sparse-encoder-testing/splade-bert-tiny-nq,bert,tiny,"0,5255094517","0,5478303358"
DeepPavlov/rubert-base-cased-conversational,rubert,base,"0,5252406148","0,658526496"
sentence-transformers-testing/all-nli-bert-tiny-dense,bert,tiny,"0,5250686309","0,5558646469"
akdeniz27/bert-base-turkish-cased-ner,bert,base,"0,524764664","0,5405287174"
nreimers/BERT-Tiny_L-2_H-128_A-2,bert,tiny,"0,5242110784","0,5493528784"
LazerLambda/BERT-Tiny-L-2-H-128-A-2-ModBERTScore-TEST,bert,tiny,"0,5242110486","0,5493528731"
lyeonii/bert-tiny,bert,tiny,"0,5242110486","0,5493528731"
gaunernst/bert-tiny-uncased,bert,tiny,"0,5242110486","0,5493528731"
DeepWokLab/bert-tiny,bert,tiny,"0,5242110486","0,5493528731"
Jingya/tiny-random-bert-remote-code,bert,tiny,"0,5236426557","0,711203586"
mrm8488/bert-tiny-finetuned-enron-spam-detection,bert,tiny,"0,522615158","0,5456596138"
gagan3012/bert-tiny-finetuned-ner,bert,tiny,"0,5172371941","0,5364528006"
sandigital/bert-tiny-finetuned-ner,bert,tiny,"0,5172371941","0,5364528006"
M-FAC/bert-mini-finetuned-mnli,bert,mini,"0,5160153569","0,5063572132"
cross-encoder-testing/reranker-bert-tiny-gooaq-bce,bert,tiny,"0,5158300069","0,5246586153"
cross-encoder-testing/reranker-bert-tiny-gooaq-bce-tanh-v4,bert,tiny,"0,5158300069","0,5246586153"
cross-encoder-testing/reranker-bert-tiny-gooaq-bce-tanh-v3,bert,tiny,"0,5158300069","0,5246586153"
cross-encoder-testing/reranker-bert-tiny-gooaq-bce-v6,bert,tiny,"0,5158300069","0,5246586153"
cross-encoder-testing/reranker-bert-tiny-gooaq-bce-openvino,bert,tiny,"0,5158300069","0,5246586153"
cross-encoder-testing/reranker-bert-tiny-gooaq-bce-onnx,bert,tiny,"0,5158300069","0,5246586153"
NeuML/colbert-bert-tiny,bert,tiny,"0,514660358","0,532660553"
NeuML/pylate-bert-tiny,bert,tiny,"0,514660358","0,532660553"
s-nlp/rubert-base-cased-conversational-paraphrase-v1,rubert,base,"0,5078974499","0,627385555"
M-FAC/bert-tiny-finetuned-mnli,bert,tiny,"0,5065327746","0,4989707049"
cnmoro/bert-tiny-question-classifier,bert,tiny,"0,4991200916","0,5089884567"
muhtasham/bert-tiny-finetuned-finer-139-full-intel-cpu,bert,tiny,"0,4987860192","0,485463104"
moussaKam/frugalscore_tiny_bert-base_bert-score,bert,tiny,"0,4950950906","0,4825851034"
prajjwal1/bert-mini,bert,mini,"0,4883903968","0,5847823889"
M-FAC/bert-tiny-finetuned-sst2,bert,tiny,"0,4882995141","0,4729934164"
M-FAC/bert-tiny-finetuned-qnli,bert,tiny,"0,4805718348","0,4421300248"
CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,bert,base,"0,4750028082","0,5152432486"
boltuix/bert-mini,bert,mini,"0,4726564446","0,4397108484"
ckiplab/bert-base-chinese-ws,bert,base,"0,469818769","0,5635855307"
mrm8488/bert-tiny-5-finetuned-squadv2,bert,tiny,"0,4664457288","0,447961314"
asafaya/bert-mini-arabic,bert,mini,"0,4518787161","0,5015248987"
prajjwal1/bert-tiny-mnli,bert,tiny,"0,4302096837","0,4166711462"
prajjwal1/bert-tiny,bert,tiny,"0,4274878245","0,4128034842"
phob0s/bert-tiny,bert,tiny,"0,4274878237","0,4128034857"
Davlan/bert-base-multilingual-cased-ner-hrl,bert,base,"0,4251064943","0,357155183"
Gherman/bert-base-NER-Russian,bert,base,"0,4227100529","0,3433862325"
mrm8488/bert-tiny-finetuned-squadv2,bert,tiny,"0,4022764524","0,3952380874"
ckiplab/bert-tiny-chinese,bert,tiny,"0,3834239328","0,3156282627"
dccuchile/bert-base-spanish-wwm-uncased,bert,base,"0,3722093303","0,2212182923"
ckiplab/bert-tiny-chinese-ner,bert,tiny,"0,3675441519","0,3341983066"
tohoku-nlp/bert-base-japanese,bert,base,"0,365797701","0,2143332223"
nlpaueb/legal-bert-base-uncased,bert,base,"0,3657338113","0,2139429793"
aubmindlab/bert-base-arabertv02,bert,base,"0,3647434685","0,2175463763"
google-bert/bert-base-german-cased,bert,base,"0,3643147087","0,2164669718"
neuralmind/bert-base-portuguese-cased,bert,base,"0,3640412541","0,2149467106"
pierreguillou/ner-bert-base-cased-pt-lenerbr,bert,base,"0,363044909","0,2122338066"
tohoku-nlp/bert-base-japanese-whole-word-masking,bert,base,"0,3618948219","0,2109366934"
optimum-internal-testing/tiny-random-encoder-decoder-gpt2-bert,bert,tiny,"0,3590073232","0,2064047992"
QuangDuy/bert-tiny-stage2-hf,bert,tiny,"0,3573464911","0,2078002286"
ckiplab/bert-tiny-chinese-ws,bert,tiny,"0,3393908322","0,3351498378"
lysandre/tiny-bert-random,bert,tiny,"0,2596903278","0,3228120173"
blanchefort/rubert-base-cased-sentiment,rubert,base,"0,2108186144","0,2853608601"
MonoHime/rubert-base-cased-sentiment-new,rubert,base,"0,2108186144","0,2853608601"
sshleifer/tiny-dbmdz-bert-large-cased-finetuned-conll03-english,bert,tiny,"0,1120756167","0,1240528537"
