id,text,number_of_gaps,number_of_participants,number_in_text,loc,glob,unknown,predictability_type
163,5,37,47,1,47,0,0,local
164,5,37,47,2,47,0,0,local
165,5,37,47,3,47,0,0,local
166,5,37,47,4,46,0,0,local
167,5,37,47,5,47,0,0,unknown
168,5,37,47,6,47,0,0,local
169,5,37,47,7,47,0,0,local
170,5,37,47,8,47,0,0,local
171,5,37,47,9,41,3,0,local
172,5,37,47,10,40,6,0,global
173,5,37,47,11,28,12,0,global
174,5,37,47,12,44,0,0,local
175,5,37,47,13,36,5,0,global
176,5,37,47,14,28,12,0,local
177,5,37,47,15,46,0,0,local
178,5,37,47,16,44,0,0,local
179,5,37,47,17,45,0,0,local
180,5,37,47,18,44,0,0,local
181,5,37,47,19,46,0,0,local
182,5,37,47,20,45,0,0,local
183,5,37,47,21,33,7,0,local
184,5,37,47,22,46,0,0,local
185,5,37,47,23,46,0,0,local
186,5,37,47,24,40,0,0,local
187,5,37,47,25,40,0,0,local
188,5,37,47,26,22,18,0,global
189,5,37,47,27,41,0,0,local
190,5,37,47,28,4,36,1,global
191,5,37,47,29,43,0,0,local
192,5,37,47,30,13,29,0,global
193,5,37,47,31,38,0,0,local
194,5,37,47,32,43,0,0,local
195,5,37,47,33,44,0,0,local
196,5,37,47,34,44,0,0,local
197,5,37,47,35,43,0,0,local
198,5,37,47,36,46,0,0,local
199,5,37,47,37,45,0,0,local
200,6,35,47,1,46,0,0,local
201,6,35,47,2,44,1,1,local
202,6,35,47,3,31,13,0,global
203,6,35,47,4,47,0,0,local
204,6,35,47,5,38,6,3,global
205,6,35,47,6,38,7,0,local
206,6,35,47,7,31,13,1,global
207,6,35,47,8,31,13,0,local
208,6,35,47,9,46,0,0,local
209,6,35,47,10,46,0,0,local
210,6,35,47,11,46,0,0,local
211,6,35,47,12,29,15,1,global
212,6,35,47,13,18,26,0,global
213,6,35,47,14,27,17,0,global
214,6,35,47,15,29,15,0,global
215,6,35,47,16,44,0,0,local
216,6,35,47,17,44,1,1,local
217,6,35,47,18,45,0,0,local
218,6,35,47,19,44,0,0,local
219,6,35,47,20,44,0,0,local
220,6,35,47,21,42,0,0,local
221,6,35,47,22,33,11,0,global
222,6,35,47,23,42,0,0,local
223,6,35,47,24,24,19,0,global
224,6,35,47,25,11,31,1,global
225,6,35,47,26,44,1,0,local
226,6,35,47,27,20,22,0,global
227,6,35,47,28,44,0,0,local
228,6,35,47,29,44,0,0,local
229,6,35,47,30,43,0,0,local
230,6,35,47,31,45,0,0,local
231,6,35,47,32,44,0,0,local
232,6,35,47,33,25,18,0,global
233,6,35,47,34,12,31,0,global
234,6,35,47,35,8,30,0,global
