3 0:1
Слово;Тип;Тип;Тип;Вывод;Номер;Верно?
устремилось;local;global;global;Global;11;0
направлялось;local;global;global;Global;11;1
пришли;local;global;global;Global;11;0
зашли;local;global;global;Global;11;0
шло;local;global;global;Global;11;0
бросились;local;global;global;Global;11;0
прибыло;local;global;global;Global;11;0
направлялись;local;global;global;Global;11;0
попало;local;global;global;Global;11;0
тянувшихся;local;global;dep;Global;11;0
тропами;local;local;global;Local;11;0
тропинками;local;local;global;Local;11;1
дорогами;local;local;global;Local;11;0
путями;local;local;global;Local;12;0
дорожками;local;local;global;Local;12;0
проходами;local;local;global;Local;12;0
наступлениями;local;local;local;Local;12;0
стенами;local;local;local;Local;12;0
галопами;local;local;dep;Local;12;0
шеренгами;local;local;dep;Local;12;0
шагами;local;local;dep;Local;12;0
люди;local;global;global;Global;12;0
горожане;local;global;global;Global;12;0
жители;local;global;global;Global;12;0
зеваки;local;local;global;Local;13;0
прохожие;local;global;global;Global;13;0
путники;local;global;global;Global;13;0
граждане;local;global;global;Global;13;0
гражданские;local;global;local;Local;13;0
лица;local;global;local;Local;13;0
кучки;local;global;global;Global;13;1
жрецы;local;global;local;Local;13;0
рабы;local;global;local;Local;13;0
храма;global;global;global;Global;13;0
города;global;global;global;Global;13;1
рощи;global;global;local;Global;13;0
толпы;global;global;global;Global;14;0
двора;local;local;global;Local;14;0
домов;local;global;global;Global;14;0
далека;local;local;local;Local;14;0
темноты;local;local;local;Local;14;0
селения;local;local;local;Local;14;0
мрака;local;local;local;Local;14;0
угла;local;local;local;Local;14;0
центра;local;local;local;Local;14;0
зала;local;local;local;Local;14;0
концов;local;local;local;Local;14;0
леса;local;global;dep;Global;14;0
переулков;local;global;local;Local;14;0
храм;global;global;global;Global;14;0
толпу;global;global;global;Global;14;0
город;global;global;global;Global;14;1
дом;local;local;global;Local;15;0
здание;local;local;global;Local;15;0
храм;global;global;global;Global;15;0
рощу;global;global;local;Global;15;0
него;local;global;local;Local;15;0
крепость;global;local;local;Local;15;0
оглушили;local;local;global;Local;15;1
окружили;local;local;global;Local;15;0
догнали;local;local;global;Local;15;0
встретили;local;local;global;Local;16;0
громогласные;local;local;dep;Local;16;0
настигли;local;global;global;Global;16;0
накрыли;local;global;global;Global;16;0
были;local;local;global;Local;16;0
голос;local;local;dep;Local;16;0
втревожили;local;local;global;Local;16;0
ошеломили;local;local;global;Local;16;0
оповестили;local;local;global;Local;16;0
неистовые;local;local;dep;Local;16;0
ошарашили;local;local;global;Local;16;0
пугающие;local;local;dep;Local;16;0
шумные;local;local;dep;Local;16;0
услышал;local;local;dep;Local;16;0
огласили;local;local;dep;Local;16;0
громкие;local;local;dep;Local;16;0
яростные;local;local;dep;Local;16;0
заглушили;local;local;global;Local;16;0
город;global;global;global;Global;16;1
рим;global;global;global;Global;16;0
столица;global;global;global;Global;16;0
все;local;global;local;Local;17;0
горит;local;global;global;Global;17;0
в;local;dep;local;Error;17;0
боги;global;global;global;Global;17;1
люди;global;global;global;Global;17;0
помогите;local;local;global;Local;17;0
скорее;local;local;global;Local;18;0
спасите;local;global;global;Global;18;0
быстрее;local;local;global;Local;18;0
виниций;global;local;global;Global;18;0
господи;local;local;local;Local;18;0
пожалуйста;local;local;local;Local;18;0
товарищи;local;local;local;Local;18;0
горит;local;local;global;Local;18;0
нибудь;local;local;local;Local;18;0
господин;local;local;local;Local;18;0
рим;global;global;global;Global;18;0
сильной;local;local;global;Local;18;0
одной;local;local;local;Local;18;0
его;local;local;local;Local;18;0
твердой;local;local;local;Local;19;0
правой;local;local;local;Local;19;0
нож;local;local;dep;Local;19;0
то;local;local;local;Local;19;0
лишь;local;local;local;Local;19;0
мощной;local;local;global;Local;19;1
опытной;local;local;local;Local;19;0
крепкой;local;local;local;Local;19;0
постоялым;local;local;local;Local;19;1
задним;local;local;local;Local;19;0
его;local;local;local;Local;19;0
конным;local;local;local;Local;20;0
главным;local;local;global;Local;20;0
шумным;local;local;local;Local;20;0
этим;local;local;local;Local;20;0
величественным;local;local;global;Local;20;0
конюшным;local;local;global;Local;20;0
самым;local;local;local;Local;20;0
то;local;local;local;Local;20;0
опустевшим;local;local;global;Local;20;0
королевским;local;local;local;Local;20;0
тем;local;local;none;Local;20;0
царским;local;local;local;Local;20;0
собственным;local;local;local;Local;20;0
целым;local;local;local;Local;20;0
коннным;local;local;local;Local;20;0
просторным;local;local;local;Local;20;0
господским;local;local;local;Local;20;0
хозяина;local;local;global;Local;20;0
господина;local;local;global;Local;20;1
виниция;global;global;global;Global;20;0
всадника;local;global;global;Global;21;0
его;local;global;local;Local;21;0
рима;local;global;global;Global;21;0
ено;local;global;local;Local;21;0
императора;local;global;global;Global;21;0
хозяина;local;local;global;Local;21;0
царя;local;global;global;Global;21;0
приказу;local;local;global;Local;21;0
команде;local;local;global;Local;21;0
указу;local;local;global;Local;21;0
знаку;local;local;global;Local;22;0
приказанию;local;local;global;Local;22;1
воле;local;local;global;Local;22;0
приближении;local;local;local;Local;22;0
сигналу;local;local;local;Local;22;0
жесту;local;local;local;Local;22;0
зову;local;local;global;Local;22;0
указке;local;local;global;Local;22;0
кивку;local;local;local;Local;22;0
распоряжению;local;local;global;Local;22;0
появлении;local;local;local;Local;22;0
появлению;local;local;local;Local;22;0
требованию;local;local;global;Local;22;0
приезду;local;local;local;Local;22;0
вооружённых;local;local;local;Local;22;0
конных;local;global;global;Global;22;1
человек;local;local;local;Local;22;0
всадников;local;global;global;Global;23;0
грязных;local;local;local;Local;23;0
конников;local;global;global;Global;23;0
людей;local;global;local;Local;23;0
отважных;local;local;local;Local;23;0
сильных;local;local;local;Local;23;0
молодых;local;local;local;Local;23;0
спешащих;local;local;local;Local;23;0
верных;local;local;local;Local;23;0
гонцов;local;local;local;Local;23;0
перепуганных;global;local;local;Local;23;0
усталых;local;local;local;Local;23;0
воинов;local;local;global;Local;23;0
уставших;local;local;local;Local;23;0
солдат;local;local;global;Local;23;0
отменных;local;local;local;Local;23;0
тысяч;local;local;local;Local;23;0
идущих;local;local;global;Local;23;0
примчавшихся;local;local;local;Local;23;0
прибывших;local;local;local;Local;23;0
спешивших;local;local;global;Local;24;0
прискакавших;local;local;local;Local;24;0
пришедших;local;local;local;Local;24;0
пришедшими;local;local;local;Local;24;0
направлявшихся;local;local;global;Local;24;1
приехавших;local;local;local;Local;24;0
прибывшими;local;local;dep;Local;24;0
пришли;local;local;global;Local;24;0
они;local;local;local;Local;24;0
приехавшими;local;local;dep;Local;24;0
едущих;local;local;global;Local;24;0
испугался;local;local;local;Local;24;0
примччавшихся;local;local;local;Local;24;0
плохими;local;local;global;Local;24;0
вернувшихся;local;local;local;Local;24;0
опоздали;local;local;local;Local;24;0
отправленных;local;local;local;Local;24;0
плохими;local;local;global;Local;24;0
ехавших;local;local;local;Local;24;0
приехавший;local;local;dep;Local;24;0
скакавших;local;local;local;Local;24;0
рима;global;global;global;Global;24;0
города;global;global;dep;Global;24;1
метрополии;local;global;global;Global;24;0
дороги;local;global;local;Local;25;0
дворца;local;global;local;Local;25;0
провинции;local;local;local;Local;25;0
путешествия;local;local;local;Local;25;0
столицы;global;global;dep;Global;25;0
села;local;local;local;Local;25;0
спрашивать;local;local;local;Local;25;1
расспрашивать;local;local;local;Local;25;0
распрашивать;local;local;local;Local;25;0
кричать;local;local;local;Local;26;0
говорить;local;local;local;Local;26;0
разговор;local;local;local;Local;26;0
разговаривать;local;local;local;Local;26;0
расспрашиватт;local;local;local;Local;26;0
есть;local;local;local;Local;26;0
выспрашивать;local;local;dep;Local;26;0
речь;local;local;local;Local;26;0
гоготать;local;local;local;Local;26;0
пожаре;global;local;global;Global;26;0
расспросы;local;local;local;Local;26;0
диалог;local;local;local;Local;26;0
спрашивать;local;local;local;Local;26;0
опрос;local;local;local;Local;26;0
распросы;local;local;local;Local;26;0
диалог;local;local;local;Local;26;0
допрашивать;local;local;local;Local;26;0
вопросы;local;local;local;Local;26;0
рима;global;global;global;Global;26;0
города;global;global;dep;Global;26;1
здания;local;global;local;Local;26;0
рощи;local;global;local;Local;27;0
замка;local;global;local;Local;27;0
господин;local;local;dep;Local;27;1
всего;local;local;local;Local;27;0
господин;local;global;local;Local;27;0
пожар;local;global;global;Global;28;0
сначала;local;local;local;Local;28;0
видимо;local;local;local;Local;28;0
возможно;local;local;local;Local;28;0
здания;local;local;local;Local;28;0
центре;local;local;local;Local;28;0
рим;local;global;global;Global;28;0
везде;local;local;local;Local;28;0
неугасаемый;local;local;local;Local;28;0
сегодня;local;local;local;Local;28;0
говорят;local;local;local;Local;28;0
огне;local;global;local;Local;28;0
моему;local;local;local;Local;28;0
мсье;local;local;local;Local;28;0
пожар;local;global;local;Local;28;0
когда;local;local;local;Local;28;0
вроде;local;local;local;Local;28;0
видимому;local;local;local;Local;28;0
трибун;local;local;local;Local;28;0
внезапно;local;local;local;Local;28;0
сударь;local;global;local;Local;28;0
главного;local;local;local;Local;28;0
большого;local;local;dep;Local;28;1
ворот;local;local;dep;Local;28;0
центрального;local;local;local;Local;29;0
приезжего;local;local;local;Local;29;0
входа;local;local;local;Local;29;0
старого;local;local;local;Local;29;0
здания;local;local;local;Local;29;0
колизея;local;local;local;Local;29;0
странствующего;local;local;local;Local;29;0
популярного;local;local;local;Local;29;0
одного;local;local;local;Local;29;0
конюшен;local;local;dep;Local;29;0
ближнего;local;local;local;Local;29;0
самого;local;local;local;Local;29;0
круглого;local;local;local;Local;29;0
городского;local;local;local;Local;29;0
местного;local;local;local;Local;29;0
шатра;local;local;local;Local;29;0
города;global;global;dep;Global;29;1
рима;global;global;global;Global;29;0
здания;local;local;local;Local;29;0
цирка;local;global;global;Global;30;0
здаия;local;local;local;Local;30;0
площади;local;local;local;Local;30;0
двора;local;global;local;Local;30;0
рынка;local;local;local;Local;30;0
пламя;global;global;dep;Global;30;1
пока;local;local;local;Local;30;0
огонь;global;global;global;Global;30;0
оно;local;global;local;Local;31;0
огниво;local;global;local;Local;31;0
бедствие;global;global;local;Global;31;0
пожарище;global;global;local;Local;31;0
задымление;local;global;local;Local;31;0
бедствия;local;global;local;Local;31;0
все;local;local;local;Local;31;0
городские;global;global;local;Global;31;0
соседние;local;global;local;Local;31;0
новые;local;global;local;Local;32;1
жилые;local;global;local;Local;32;0
целые;local;local;local;Local;32;0
огонь;local;global;local;Local;32;0
пути;local;local;local;Local;32;0
ближайшие;local;local;local;Local;32;0
другие;local;local;local;Local;32;0
жилык;local;global;local;Local;32;0
остальные;local;local;local;Local;32;0
пути;local;local;local;Local;32;0
бедные;local;local;local;Local;32;0
многие;local;local;local;Local;32;0
близлежащие;local;local;local;Local;32;0
пути;local;local;local;Local;32;0
центральные;local;local;local;Local;32;0
дыма;local;global;local;Local;32;1
удушья;local;global;local;Local;32;0
удушения;local;global;local;Local;32;0
гари;local;global;local;Local;33;0
давки;local;local;local;Local;33;0
людей;local;local;local;Local;33;0
голода;local;local;local;Local;33;0
этого;local;local;local;Local;33;0
Огня и дыма;local;global;local;Local;33;0
дым;local;global;local;Local;33;0
завалов;local;local;local;Local;33;0
подали;local;local;local;Local;33;0
подвели;local;local;local;Local;33;1
привели;local;local;local;Local;33;0
оседлал;local;local;local;Local;34;0
дали;local;local;local;Local;34;0
приданное;local;local;dep;Local;34;0
взял;local;local;local;Local;34;0
вывели;local;local;local;Local;34;0
вскочил;local;local;local;Local;34;1
сел;local;local;local;Local;35;0
запрыгнул;local;local;local;Local;35;0
взглянул;local;local;local;Local;35;0
залез;local;local;local;Local;35;0
