text,gap_number,word,count_answers,local_global,semantics
1,18,не понятно,1,local,качество четкости звука
1,18,невзрачно,1,local,качество четкости звука
1,18,быстро,1,local,качество четкости звука
1,19,мальчишек,7,local,наименование групп лиц
1,19,ветра,5,local,неживая природа
1,19,стрел,4,local,оружие
1,19,людей,4,local,наименование групп лиц
1,19,птиц,2,local,животное
1,19,труб,2,local,музыкальный инструмент
1,19,толпы,2,local,наименование групп лиц
1,19,раздавшийся,1,local,глаголы звучания
1,19,исходящий,1,local,глаголы звучания
1,19,камней,1,local,неживая природа
1,19,доносящийся,1,local,глаголы звучания
1,19,ребят,1,local,наименование групп лиц
1,19,голодранцев,1,local,наименование групп лиц
1,19,дрелей,1,local,инструмент
1,19,падающий,1,local,глаголы физического действия
1,19,человека,1,local,человек
1,19,плетей,1,local,оружие
1,19,зевак,1,global,наименование групп лиц
1,19,донесшийся,1,local,глаголы звучания
1,19,прямо,1,local,направление
1,19,воробья,1,local,животное
1,19,громкий,1,local,качество громкости звука
1,19,пращенников,1,dep,наименование групп лиц
1,20,солдат,8,global,человек
1,20,человек,6,local,человек
1,20,пилат,4,global,человек
1,20,он,3,local,человек
1,20,стражников,2,global,человек
1,20,легионер,2,global,человек
1,20,мужчина,2,local,человек
1,20,ленин,1,dep,человек
1,20,глашатай,1,global,человек
1,20,иешуа,1,global,человек
1,20,страж,1,global,человек
1,20,советник,1,global,человек
1,20,великий,1,local,человек
1,20,командир,1,global,человек
1,20,командир когорты,1,global,человек
1,20,палач,1,global,человек
1,20,привратник,1,global,человек
1,20,воин,1,global,человек
1,20,старик,1,local,человек
1,20,охранник,1,local,человек
1,21,значком,7,global,символ власти
1,21,свитком,5,local,символ власти
1,21,знаменем,4,local,символ власти
1,21,щитом,4,local,символ власти
1,21,свертком,4,local,символ власти
1,21,скипетром,4,local,символ власти
1,21,стволом,2,local,оружие
1,21,кандалами,1,global,объект сковывающий действия
1,21,стороны улицы с топором,1,local,-
1,21,топором,1,local,оружие
1,21,слойкой,1,local,еда
1,21,стаканом,1,local,посуда
1,21,штилем,1,local,"оружие, качество действия"
1,21,корманоми,1,dep,одежды
1,22,остановились,9,local,глаголы прекращения состояния
1,22,удалились,4,local,глаголы прекращения состояния
1,22,двинулись,3,local,глаголы начала состояния
1,22,обернулись,2,local,глаголы изменения качества состояния объекта
1,22,ушли,2,local,глаголы движения
1,22,повернулись,1,local,глаголы изменения качества состояния объекта
1,22,начали,1,local,глаголы начала состояния
1,22,побежали,1,local,глаголы начала состояния
1,22,стали,1,local,глаголы начала состояния
1,22,ахнули,1,local,глаголы речевой деятельности
1,22,отвернулись,1,local,глаголы изменения качества состояния объекта
1,22,остановился,1,local,глаголы прекращения состояния
1,22,встрепенулись,1,local,глаголы изменения качества состояния объекта
1,22,настиг,1,dep,глаголы прекращения состояния
1,22,успокоились,1,local,глаголы изменения качества состояния объекта
1,22,дежурный,1,dep,человек
1,22,трогается,1,local,глаголы начала состояния
1,22,ответили,1,local,глаголы речевой деятельности
1,22,начали движение,1,local,глаголы начала состояния
1,22,шли,1,local,глаголы движения
1,22,партии,1,dep,наименование групп лиц
1,23,вылетела,6,local,глаголы однонаправленного движения
1,23,вышла,6,local,глаголы однонаправленного движения
1,23,ворвалась,4,local,глаголы однонаправленного движения
1,23,выехала,3,local,глаголы однонаправленного движения
1,23,бежала,3,local,глаголы движения
1,23,выходила,2,local,глаголы однонаправленного движения
1,23,повернула,2,local,глаголы движения
1,23,проникла,1,local,глаголы однонаправленного движения
1,23,поспешила,1,local,глаголы движения
1,23,проскакала,1,local,глаголы движения
1,23,двинулась,1,local,глаголы однонаправленного движения
1,23,въехал,1,dep,глаголы однонаправленного движения
1,23,забежала,1,local,глаголы проникновения
1,23,выехал,1,local,глаголы однонаправленного движения
1,23,рванулась,1,local,глаголы однонаправленного движения
1,23,выехав,1,local,глаголы однонаправленного движения
1,23,вылетала,1,local,глаголы однонаправленного движения
1,23,зашла,1,local,глаголы проникновения
1,23,собралась,1,local,глаголы однонаправленного движения
1,23,вбегала,1,local,глаголы проникновения
1,23,спешила,1,local,глаголы однонаправленного движения
1,23,кружила,1,local,глаголы движения
1,23,ринулась,1,local,глаголы однонаправленного движения
1,23,выбежала,1,local,глаголы однонаправленного движения
1,23,прибежали,1,local,глаголы проникновения
1,23,в перед,1,local,направление
1,23,влетела,1,local,глаголы однонаправленного движения
1,23,ведущая,1,local,человек
1,24,каменной,12,local,материал
1,24,крепостной,6,local,место в пространстве
1,24,городской,4,local,место в пространстве
1,24,высокой,4,local,внешняя характеристика предмета
1,24,западной,1,local,место в пространстве
1,24,дворцовой,1,local,место в пространстве
1,24,внешней,1,local,место в пространстве
1,24,нависавшей,1,local,внешняя характеристика предмета
1,24,старой,1,local,состояние предмета
1,24,большой,1,local,внешняя характеристика предмета
1,24,левой,1,local,место в пространстве
1,24,навесной,1,local,внешняя характеристика предмета
1,24,кирпичной,1,local,материал
1,24,низенькой,1,local,внешняя характеристика предмета
1,24,бетонной,1,local,материал
1,24,низкой,1,local,внешняя характеристика предмета
1,24,белой,1,local,цвет
1,24,рухнувшей,1,local,состояние предмета
1,25,виноград,7,local,растение
1,25,туман,7,local,газообразное
1,25,дым,4,local,газообразное
1,25,путь,3,local,"объект в пространстве, имеющий направление"
1,25,плющ,2,local,растение
1,25,вьюн,1,local,растение
1,25,мох,1,local,растение
1,25,арык,1,dep,растение
1,25,след,1,local,след
1,25,штандарт,1,local,-
1,25,один,1,local,число
1,25,уже засохший от жары вьюн,1,local,растение
1,25,овраг,1,local,место в пространстве
1,25,караван,1,local,наименование группы людей
1,25,стланик,1,local,растение
1,25,шлейф,1,local,газообразное
1,25,свет,1,local,свет
1,26,дорогой,31,local,"объект в пространстве, имеющий направление"
1,26,путь,3,local,"объект в пространстве, имеющий направление"
1,26,возожности,1,local,возможность
1,26,возможностью,1,local,возможность
1,26,дороге,1,local,"объект в пространстве, имеющий направление"
1,26,виноград,1,local,растение
1,26,бегом,1,local,манера передвижения
1,27,мальчик,5,local,человек
1,27,мышь,4,local,животное
1,27,ребенок,4,local,человек
1,27,осел,3,local,животное
1,27,подросток,2,local,человек
1,27,котенок,2,local,животное
1,27,ягода,1,local,растение
1,27,кот,1,local,животное
1,27,шакал,1,local,животное
1,27,жук,1,local,животное
1,27,мошка,1,local,животное
1,27,муравей,1,local,животное
1,27,дым,1,local,газообразное
1,27,мышонок,1,local,животное
1,27,маленький,1,local,качество объекта по размеру
1,27,обезьяна,1,local,животное
1,27,звереныш,1,local,животное
1,27,ворон,1,local,животное
1,27,гном,1,local,сверхъестественное существо
1,27,ночь,1,local,время
1,28,командир,9,global,военный
1,28,всадник,2,global,военный
1,28,кавалерийской,2,global,относящийся к войне
1,28,молодой,2,local,возраст
1,28,наездник,1,local,военный
1,28,несущий,1,local,глаголы воздействия на объект
1,28,член,1,local,человек
1,28,кавалерийского,1,global,относящийся к войне
1,28,предводитель,1,local,военный
1,28,воин,1,local,военный
1,28,кавалериец,1,global,военный
1,28,сияет,1,local,глаголы качественного состояния
1,28,кавалерииц,1,global,военный
1,28,темнокожий,1,local,внешняя характеристика человека
1,28,члены кавалерийской,1,global,наименование групп лиц
1,28,преследователь,1,local,человек
1,28,там,1,local,место в пространстве
1,28,розы,1,local,растение
1,28,каваллерийской,1,global,относящийся к войне
1,28,чурный,1,local,-
1,29,выхватил,16,local,глаголы воздействия на объект
1,29,вынул,11,local,глаголы воздействия на объект
1,29,вытащил,8,local,глаголы воздействия на объект
1,29,достал,6,local,глаголы воздействия на объект
1,29,высунул,2,local,глаголы воздействия на объект
1,29,вынцл,1,local,глаголы воздействия на объект
1,29,выташтл,1,local,глаголы воздействия на объект
1,29,взвигнул,1,local,глаголы звучания
1,30,взмокшая,6,local,физическое состояние
1,30,массивная,2,local,качество объекта по размеру
1,30,черная,2,local,цвет
1,30,быстрая,2,local,качество объекта по скорости
1,30,сталь сверкнула,1,local,-
1,30,села на,1,local,глаголы воздействия на объект
1,30,налетела на,1,local,глаголы воздействия на объект
1,30,его,1,local,принадлежность
1,30,испугала,1,local,глаголы эмоционального воздействия
1,30,белогривая,1,local,характеристика животного
1,30,разъеренная,1,local,эмоциональное состояние
1,30,боевая,1,local,характеристика животного
1,30,резвая,1,local,качество объекта по скорости
1,30,усталая,1,local,физическое состояние
1,30,запряженная,1,local,характеристика животного
1,30,породистая,1,local,характеристика животного
1,30,бедная,1,local,физическое состояние
1,30,царская,1,local,характеристика животного
1,30,гордая,1,dep,характер
1,30,летела на,1,local,глаголы воздействия на объект
1,30,боевыя,1,local,характеристика животного
1,30,гончая,1,local,характеристика животного
1,30,дикая,1,local,характер
1,31,шарахнулась,6,local,глаголы движения
1,31,заржала,5,local,глаголы звучания
1,31,которая,3,local,-
1,31,остановилась,2,local,глаголы прекращения движения
1,31,взвилась,2,local,глаголы движения
1,31,испугалась,2,local,глаголы эмоционального состояния
1,31,тотчас,1,local,время
1,31,резкь,1,local,степень изменения действия
1,31,пилата,1,local,человек
1,31,вздрогнула,1,global,глаголы движения
1,31,мгновенно,1,local,время
1,31,фыркая,1,local,глаголы звучания
1,31,резко,1,local,степень изменения действия
1,31,громко заржала,1,local,глаголы звучания
1,31,остановясь,1,local,глаголы прекращения движения
1,31,выгнулась,1,local,глаголы движения
1,31,очнулась,1,local,глаголы изменения состояния
1,31,внезапно,1,local,степень изменения действия
1,31,подумала,1,local,глаголы мыслительной деятельности
1,31,заржав,1,local,глаголы звучания
1,31,сирийца,1,local,человек
1,31,мустанг,1,global,животное
1,32,командир,7,local,человек
1,32,сириец,12,global,человек
1,32,он,11,local,человек
1,32,всадник,5,global,человек
1,32,мулат,2,global,человек
1,32,паренек,1,global,человек
1,32,пилат,1,local,человек
1,32,плетью,1,global,оружие
1,32,воин,1,local,человек
1,32,вдруг,1,global,время
1,32,запрыгнул на лошадь и,1,local,глаголы воздействия на объект
1,32,центурион,1,local,человек
1,33,шее,7,global,часть тела
1,33,крупу,12,local,часть тела животного
1,33,бокам,8,local,часть тела
1,33,боку,6,local,часть тела
1,33,спине,2,local,часть тела
1,33,ней,2,local,часть тела
1,33,хребту,1,local,часть тела животного
1,33,ногам,1,local,часть тела
1,33,бочине,1,local,часть тела
1,33,загривку,1,local,часть тела животного
1,33,ягодице,1,local,часть тела
1,33,бедрам,1,local,часть тела
1,33,вихрам,1,local,часть тела животного
1,34,полетели,6,local,глаголы движения
1,34,скакали,11,local,глаголы движения
1,34,поскакали,4,local,глаголы движения
1,34,неслись,3,local,глаголы движения
1,34,проскакали,2,local,глаголы движения
1,34,поехали,2,local,глаголы движения
1,34,погнались,2,local,глаголы движения
1,34,последовали,2,local,глаголы движения
1,34,помчались,2,local,глаголы движения
1,34,стояли,1,local,глаголы состояния
1,34,встали,1,local,глаголы окончания движения
1,34,промчались,1,local,глаголы движения
1,34,проследовали,1,local,глаголы движения
1,34,ехали,1,local,глаголы движения
1,34,верные,1,local,характер
1,34,темные,1,local,цвет
1,34,выстроились,1,local,глаголы движения
1,34,шли,1,local,глаголы движения
1,34,мчали,1,local,глаголы движения
1,35,туче,6,local,газообразное
1,35,клубах,9,local,газообразное
1,35,густой,5,local,внешняя характеристика
1,35,серой,4,local,цвет
1,35,дорожной,3,local,место в пространстве
1,35,облаке,3,local,газообразное
1,35,городской,3,local,место в пространстве
1,35,облаках,2,local,газообразное
1,35,грязных от,1,local,внешняя характеристика
1,35,шлемах,1,local,одежда
1,35,мокрой,1,local,внешняя характеристика
1,35,сильной,1,local,внешняя характеристика
1,35,толпе,1,local,наименование групп лиц
1,35,лес,1,global,место в пространстве
1,35,непроглядной,1,local,внешняя характеристика
1,35,мантиях,1,local,одежда
1,36,пик,7,local,оружие
1,36,копий,8,global,оружие
1,36,палок,3,global,растение
1,36,прутьев,2,local,растение
1,36,стрел,2,local,оружие
1,36,тростей,2,local,одежда
1,36,шапок,2,local,одежда
1,36,палочек,1,local,растение
1,36,заборов,1,local,место в пространстве
1,36,шлемов,1,local,одежда
1,36,лампасов,1,global,одежда
1,36,ботинок,1,dep,одежда
1,36,крыш,1,local,место в пространстве
1,36,стремян,1,local,одежда
1,36,стеблей,1,global,растение
1,36,одеждах,1,local,одежда
1,36,попон,1,local,одежда
1,36,стволов,1,global,растение
1,36,деревьев,1,local,растение
1,36,тростинок,1,local,растение
1,36,сабель,1,local,оружие
1,36,листьев,1,dep,растение
1,36,палках,1,local,растение
1,37,весело,5,local,эмоциональное состояние
1,37,белыми,3,local,цвет
1,37,злобно,2,local,эмоциональное состояние
1,37,улыбками,2,local,выражение лица
1,37,редкими,1,local,-
1,37,открытыми ртами,1,local,выражение лица
1,37,жутко,1,local,эмоциональное состояние
1,37,блестящими,1,local,внешняя характеристика объекта
1,37,яростно,1,local,эмоциональное состояние
1,37,кровожадно,1,local,эмоциональное состояние
1,37,яро,1,local,эмоциональное состояние
1,37,жестоко,1,local,эмоциональное состояние
1,37,заметно,1,local,степень выражения
1,37,веселло,1,local,эмоциональное состояние
1,37,сверкающими,1,local,внешняя характеристика объекта
1,37,шрамами,1,local,особенности внешности
1,37,морщинами,1,local,особенности внешности
1,37,страшно,1,local,эмоциональное состояние
1,37,ехидно,1,local,эмоциональное состояние
1,37,белыми,1,local,цвет
1,37,дико,1,local,эмоциональное состояние
1,37,гневно,1,local,эмоциональное состояние
1,37,большими,1,local,внешняя характеристика объекта
1,37,красивыми,1,local,внешняя характеристика объекта
1,37,злым,1,local,эмоциональное состояние
1,37,широко,1,local,внешняя характеристика объекта
1,37,улабками,1,local,выражение лица
1,37,сильно,1,local,степень выражения
1,37,зловеще,1,local,эмоциональное состояние
1,37,улибками,1,local,выражение лица
1,38,сверкающими,8,local,внешняя характеристика объекта
1,38,белыми,9,local,цвет
1,38,желтыми,7,local,цвет
1,38,ровными,2,local,внешняя характеристика объекта
1,38,гнилыми,1,local,состояние объекта
